timestamp,protocol,experiment,attack_mode,rep,asr,duration,exit_code,NUM_NODES,ATTACKER_RATIO,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO
2026-02-01T16:37:05.216477,bullshark,defense_memory,fissure,5,94.1,80.343905210495,0,,,,,,1,,,,,,,,,,,,,,,,,
2026-02-01T16:38:27.975337,bullshark,defense_memory,fissure,2,94.7,82.69309282302856,0,,,,,,2,,,,,,,,,,,,,,,,,
2026-02-01T16:39:49.151335,bullshark,defense_memory,fissure,3,93.8,81.11377334594727,0,,,,,,2,,,,,,,,,,,,,,,,,
2026-02-01T16:41:10.652257,bullshark,defense_memory,fissure,4,93.1,81.4410183429718,0,,,,,,2,,,,,,,,,,,,,,,,,
2026-02-01T16:42:32.350170,bullshark,defense_memory,fissure,5,92.4,81.63874936103821,0,,,,,,2,,,,,,,,,,,,,,,,,
2026-02-01T16:43:52.573351,bullshark,defense_memory,fissure,2,85.6,80.18108630180359,0,,,,,,5,,,,,,,,,,,,,,,,,
2026-02-01T16:45:14.028668,bullshark,defense_memory,fissure,3,88.5,81.39725828170776,0,,,,,,5,,,,,,,,,,,,,,,,,
2026-02-01T16:46:34.778878,bullshark,defense_memory,fissure,4,94.1,80.68959045410156,0,,,,,,5,,,,,,,,,,,,,,,,,
2026-02-01T16:47:56.021469,bullshark,defense_memory,fissure,5,91.1,81.18236231803894,0,,,,,,5,,,,,,,,,,,,,,,,,
2026-02-01T16:49:16.916094,bullshark,defense_memory,fissure,2,94.8,80.83703207969666,0,,,,,,20,,,,,,,,,,,,,,,,,
