timestamp,protocol,experiment,attack_mode,attack_type,rep,asr,asr_l1,asr_l2,asr_histogram,duration,exit_code,NUM_NODES,ATTACKER_RATIO,ATTACKER_ID,FRONT_ATTACKER_ID,BACK_ATTACKER_ID,VICTIM_ID,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO,VICTIM_COUNT,ATTACK_TYPE,SANDWICH_METRIC_MODE,ALEPH_ELECTION_LOOKAHEAD,ALEPH_COORD_REQUEST_DELAY_MS,ALEPH_HASH_SORT_SEED,AUTOBAHN_K,AUTOBAHN_FAST_PATH_TIMEOUT,AUTOBAHN_USE_FAST_PATH
2026-03-31T01:34:15.101093,alephbft,simple,fissure,backrun,2,7.68,0.0,0.0,"{""7"": 157}",36.45287728309631,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:34:54.478775,alephbft,simple,fissure,backrun,3,7.75,0.0,0.0,"{""7"": 149}",34.36330699920654,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:35:51.376509,alephbft,simple,fissure,backrun,4,7.32,0.0,0.0,"{""7"": 214}",51.885716915130615,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:36:41.051670,alephbft,simple,fissure,backrun,5,7.52,0.0,0.0,"{""7"": 189}",44.6604118347168,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:37:24.629770,alephbft,simple,speculative,backrun,1,11.34,0.0,0.0,"{""7"": 245}",38.500446796417236,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:38:19.476712,alephbft,simple,speculative,backrun,2,11.48,0.0,0.0,"{""7"": 322}",49.835216999053955,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:39:15.371369,alephbft,simple,speculative,backrun,3,11.34,0.0,0.0,"{""7"": 325}",50.88059115409851,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:40:12.295209,alephbft,simple,speculative,backrun,4,11.38,0.0,0.0,"{""7"": 333}",51.90997290611267,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:40:55.767397,alephbft,simple,speculative,backrun,5,11.34,0.0,0.0,"{""7"": 245}",38.45776009559631,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:41:44.602775,alephbft,simple,sluggish,backrun,1,100.00,11.43,24.94,"{""1"": 88, ""10+"": 63, ""2"": 104, ""3"": 79, ""4"": 10, ""5"": 6, ""6"": 12, ""7"": 121, ""8"": 161, ""9"": 126}",43.755529165267944,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
