timestamp,protocol,experiment,attack_mode,rep,asr,duration,exit_code,NUM_NODES,ATTACKER_RATIO,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO,ALEPH_ELECTION_LOOKAHEAD,ALEPH_COORD_REQUEST_DELAY_MS,ALEPH_HASH_SORT_SEED,AUTOBAHN_K,AUTOBAHN_FAST_PATH_TIMEOUT,AUTOBAHN_USE_FAST_PATH
2026-02-13T15:02:21.198968,autobahn,offense_exclusion,fissure,1,49.94,76.2386999130249,0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,
2026-02-13T15:03:52.470706,autobahn,offense_exclusion,fissure,2,49.94,86.2491021156311,0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,
2026-02-13T15:05:15.874981,autobahn,offense_exclusion,fissure,3,49.99,78.38006520271301,0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,
2026-02-13T15:06:43.240623,autobahn,offense_exclusion,fissure,4,50.01,82.34168219566345,0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,
2026-02-13T15:08:14.612895,autobahn,offense_exclusion,fissure,5,50.00,86.36006474494934,0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,
2026-02-13T15:09:43.986699,autobahn,offense_exclusion,fissure,1,49.65,84.3600492477417,0,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,
2026-02-13T15:11:11.320787,autobahn,offense_exclusion,fissure,2,50.02,82.31981039047241,0,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,
2026-02-13T15:12:26.580739,autobahn,offense_exclusion,fissure,3,49.98,70.23561716079712,0,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,
2026-02-13T15:13:41.711535,autobahn,offense_exclusion,fissure,4,49.86,70.10698413848877,0,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,
2026-02-13T15:15:06.853487,autobahn,offense_exclusion,fissure,5,49.99,80.11839747428894,0,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,
2026-02-13T15:16:29.237002,autobahn,offense_exclusion,fissure,1,49.88,77.35886025428772,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
2026-02-13T15:17:56.593183,autobahn,offense_exclusion,fissure,2,50.00,82.34248781204224,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
2026-02-13T15:19:12.825081,autobahn,offense_exclusion,fissure,3,49.86,71.21912288665771,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
2026-02-13T15:20:29.119811,autobahn,offense_exclusion,fissure,4,49.97,71.27075242996216,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
2026-02-13T15:21:49.353434,autobahn,offense_exclusion,fissure,5,50.09,75.21035981178284,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
2026-02-13T15:23:08.769174,autobahn,offense_exclusion,fissure,1,49.99,74.3914041519165,0,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,
2026-02-13T15:24:23.893585,autobahn,offense_exclusion,fissure,2,49.91,70.11145877838135,0,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,
2026-02-13T15:25:55.170577,autobahn,offense_exclusion,fissure,3,49.99,86.2529468536377,0,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,
2026-02-13T15:27:19.385050,autobahn,offense_exclusion,fissure,4,49.99,79.18995094299316,0,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,
2026-02-13T15:28:32.691317,autobahn,offense_exclusion,fissure,5,50.00,68.28347086906433,0,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,
2026-02-13T15:29:47.098281,autobahn,offense_exclusion,fissure,1,49.89,69.38287782669067,0,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,
2026-02-13T15:31:14.497598,autobahn,offense_exclusion,fissure,2,0.61,82.3747775554657,0,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,
2026-02-13T15:32:26.732175,autobahn,offense_exclusion,fissure,3,50.04,67.21252179145813,0,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,
2026-02-13T15:33:41.823696,autobahn,offense_exclusion,fissure,4,50.15,70.06913256645203,0,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,
2026-02-13T15:35:00.018286,autobahn,offense_exclusion,fissure,5,50.02,73.1702446937561,0,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,
2026-02-13T15:36:14.403841,autobahn,autobahn_k,fissure,1,50.12,69.3615152835846,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2026-02-13T15:37:36.624697,autobahn,autobahn_k,fissure,2,49.98,77.19640493392944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2026-02-13T15:39:08.886551,autobahn,autobahn_k,fissure,3,50.06,87.24861788749695,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2026-02-13T15:40:23.214061,autobahn,autobahn_k,fissure,4,50.15,69.30402302742004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2026-02-13T15:41:35.462197,autobahn,autobahn_k,fissure,5,50.01,67.2252106666565,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
