timestamp,protocol,experiment,attack_mode,attack_type,rep,asr,asr_l1,asr_l2,asr_histogram,duration,exit_code,NUM_NODES,ATTACKER_RATIO,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO,ALEPH_ELECTION_LOOKAHEAD,ALEPH_COORD_REQUEST_DELAY_MS,ALEPH_HASH_SORT_SEED,AUTOBAHN_K,AUTOBAHN_FAST_PATH_TIMEOUT,AUTOBAHN_USE_FAST_PATH
2026-02-24T21:32:30.383455,bullshark,simple,speculative,backrun,5,89.7,9.48,41.67,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 2, 1, 3, 2, 4, 3, 12, 11, 1, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 2, 1, 3, 2, 10, 9, 1, 11, 10, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 1, 2, 11, 2, 1, 12, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3]",133.64596104621887,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-20T03:14:07.187640,bullshark,simple,fissure,sandwich,1,92.36,,,,149.86540412902832,0,19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T21:39:14.678241,bullshark,simple,fissure,sandwich,2,92.9,,,,151.83228993415833,0,19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T21:41:51.261701,bullshark,simple,fissure,sandwich,3,92.72,,,,150.87932181358337,0,19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T21:44:27.464094,bullshark,simple,fissure,sandwich,4,92.9,,,,150.46564722061157,0,19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T21:47:03.094138,bullshark,simple,fissure,sandwich,5,92.72,,,,149.9356586933136,0,19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T23:08:54.355726,bullshark,simple,speculative,sandwich,1,92.41,,,,146.3561589717865,0,19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T23:11:26.525537,bullshark,simple,speculative,sandwich,2,91.85,,,,146.6413869857788,0,19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T23:14:01.813336,bullshark,simple,speculative,sandwich,3,92.31,,,,149.67331504821777,0,19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T23:16:36.315456,bullshark,simple,speculative,sandwich,4,91.47,,,,148.94002079963684,0,19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T23:19:10.054973,bullshark,simple,speculative,sandwich,5,91.6,,,,148.2242980003357,0,19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-25T13:48:27.408466,bullshark,simple,sluggish,backrun,1,100.0,39.08,35.63,"[34, 31, 19, 1, 1, 1, 0, 0, 0, 0]",222.21439909934998,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-25T13:48:47.355277,bullshark,simple,sluggish,backrun,4,100.0,38.1,38.1,"[32, 32, 18, 0, 0, 0, 0, 0, 0, 2]",226.59644198417664,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
